"TOA5","Clear Lake Outflow","CR800","47844","CR800.Std.32.05","CPU:Clear_Outflow_Rain_Gauge.CR8","727","Clear_Outflow_Min_15"
"TIMESTAMP","RECORD","BattV_Min","BattV_TMn","PTemp_C_Avg","Lvl_ft_Avg","Temp_C_Avg","Rain_in_Tot"
"TS","RN","Volts","","Deg C","feet","deg C","inch"
"","","Min","TMn","Avg","Avg","Avg","Tot"
"2025-05-16 00:15:00",110158,12.9,"2025-05-16 00:09:15",24.85,1.054,22.81,0
"2025-05-16 00:30:00",110159,12.86,"2025-05-16 00:29:45",24.82,1.053,22.79,0
"2025-05-16 00:45:00",110160,12.88,"2025-05-16 00:37:35",24.87,1.053,22.76,0
"2025-05-16 01:00:00",110161,12.88,"2025-05-16 00:59:30",24.46,1.042,22.73,0
"2025-05-16 01:15:00",110162,12.85,"2025-05-16 01:07:50",23.77,1.041,22.69,0
"2025-05-16 01:30:00",110163,12.86,"2025-05-16 01:25:50",23.3,1.041,22.62,0
"2025-05-16 01:45:00",110164,12.86,"2025-05-16 01:40:55",22.94,1.041,22.55,0
"2025-05-16 02:00:00",110165,12.85,"2025-05-16 01:56:50",22.63,1.041,22.49,0
"2025-05-16 02:15:00",110166,12.85,"2025-05-16 02:04:40",22.32,1.041,22.42,0
"2025-05-16 02:30:00",110167,12.84,"2025-05-16 02:26:05",21.93,1.041,22.36,0
"2025-05-16 02:45:00",110168,12.84,"2025-05-16 02:34:00",21.54,1.041,22.31,0
"2025-05-16 03:00:00",110169,12.8,"2025-05-16 02:55:30",21.14,1.042,22.26,0
"2025-05-16 03:15:00",110170,12.8,"2025-05-16 03:04:00",20.67,1.043,22.21,0
"2025-05-16 03:30:00",110171,12.81,"2025-05-16 03:24:50",20.2,1.044,22.16,0
"2025-05-16 03:45:00",110172,12.8,"2025-05-16 03:39:05",19.78,1.044,22.12,0
"2025-05-16 04:00:00",110173,12.79,"2025-05-16 03:48:10",19.45,1.045,22.08,0
"2025-05-16 04:15:00",110174,12.8,"2025-05-16 04:00:45",19.16,1.044,22.02,0
"2025-05-16 04:30:00",110175,12.78,"2025-05-16 04:24:05",18.91,1.044,21.97,0
"2025-05-16 04:45:00",110176,12.77,"2025-05-16 04:37:05",18.65,1.043,21.93,0
"2025-05-16 05:00:00",110177,12.78,"2025-05-16 04:50:30",18.3,1.044,21.88,0
"2025-05-16 05:15:00",110178,12.78,"2025-05-16 05:02:20",17.83,1.045,21.84,0
"2025-05-16 05:30:00",110179,12.79,"2025-05-16 05:24:05",17.35,1.045,21.8,0
"2025-05-16 05:45:00",110180,12.78,"2025-05-16 05:42:45",16.87,1.044,21.76,0
"2025-05-16 06:00:00",110181,12.77,"2025-05-16 05:58:45",16.41,1.044,21.71,0
"2025-05-16 06:15:00",110182,12.76,"2025-05-16 06:14:45",16.02,1.044,21.67,0
"2025-05-16 06:30:00",110183,12.75,"2025-05-16 06:28:05",15.78,1.044,21.6,0
"2025-05-16 06:45:00",110184,12.77,"2025-05-16 06:30:05",15.6,1.044,21.57,0
"2025-05-16 07:00:00",110185,12.76,"2025-05-16 06:55:25",15.4,1.046,21.54,0
"2025-05-16 07:15:00",110186,12.78,"2025-05-16 07:00:05",15.3,1.046,21.5,0
"2025-05-16 07:30:00",110187,12.78,"2025-05-16 07:22:55",15.36,1.045,21.45,0
"2025-05-16 07:45:00",110188,12.81,"2025-05-16 07:30:05",15.54,1.045,21.42,0
"2025-05-16 08:00:00",110189,12.84,"2025-05-16 07:45:05",15.82,1.046,21.38,0
"2025-05-16 08:15:00",110190,12.9,"2025-05-16 08:00:05",16.22,1.046,21.34,0
"2025-05-16 08:30:00",110191,12.98,"2025-05-16 08:15:05",16.75,1.045,21.33,0
"2025-05-16 08:45:00",110192,14.05,"2025-05-16 08:30:05",17.92,1.044,21.36,0
"2025-05-16 09:00:00",110193,14.11,"2025-05-16 08:52:35",20.11,1.045,21.46,0
"2025-05-16 09:15:00",110194,14.12,"2025-05-16 09:11:25",22.18,1.045,21.58,0
"2025-05-16 09:30:00",110195,14.09,"2025-05-16 09:20:40",23.89,1.046,21.67,0
"2025-05-16 09:45:00",110196,14.03,"2025-05-16 09:43:55",25.38,1.047,21.8,0
"2025-05-16 10:00:00",110197,14,"2025-05-16 09:54:15",26.72,1.048,21.91,0
"2025-05-16 10:15:00",110198,13.97,"2025-05-16 10:11:15",27.82,1.048,22.02,0
"2025-05-16 10:30:00",110199,13.58,"2025-05-16 10:29:45",28.71,1.049,22.12,0
"2025-05-16 10:45:00",110200,13.54,"2025-05-16 10:36:40",29.34,1.05,22.22,0
"2025-05-16 11:00:00",110201,13.54,"2025-05-16 10:51:05",29.68,1.05,22.34,0
"2025-05-16 11:15:00",110202,13.53,"2025-05-16 11:04:25",29.78,1.05,22.47,0
"2025-05-16 11:30:00",110203,13.54,"2025-05-16 11:28:15",29.68,1.052,22.6,0
"2025-05-16 11:45:00",110204,13.53,"2025-05-16 11:30:35",29.43,1.052,22.75,0
"2025-05-16 12:00:00",110205,13.54,"2025-05-16 11:45:10",29.18,1.051,22.9,0
"2025-05-16 12:15:00",110206,13.54,"2025-05-16 12:08:30",28.91,1.051,23.06,0
"2025-05-16 12:30:00",110207,13.56,"2025-05-16 12:16:30",28.65,1.052,23.2,0
"2025-05-16 12:45:00",110208,13.57,"2025-05-16 12:32:30",28.43,1.054,23.32,0
"2025-05-16 13:00:00",110209,13.58,"2025-05-16 12:45:30",28.07,1.051,23.39,0
"2025-05-16 13:15:00",110210,13.58,"2025-05-16 13:00:15",28.1,1.051,23.52,0
"2025-05-16 13:30:00",110211,13.57,"2025-05-16 13:23:35",28.16,1.052,23.64,0
"2025-05-16 13:45:00",110212,13.58,"2025-05-16 13:30:10",28.32,1.053,23.76,0
"2025-05-16 14:00:00",110213,13.54,"2025-05-16 13:56:00",28.53,1.052,23.88,0
"2025-05-16 14:15:00",110214,13.54,"2025-05-16 14:00:15",28.75,1.051,23.94,0
"2025-05-16 14:30:00",110215,13.54,"2025-05-16 14:15:35",28.93,1.053,24.03,0
"2025-05-16 14:45:00",110216,13.53,"2025-05-16 14:43:00",29,1.052,24.08,0
"2025-05-16 15:00:00",110217,13.54,"2025-05-16 14:45:25",29.2,1.054,24.1,0
"2025-05-16 15:15:00",110218,13.52,"2025-05-16 15:10:30",29.44,1.054,24.1,0
"2025-05-16 15:30:00",110219,13.54,"2025-05-16 15:15:05",29.74,1.052,24.11,0
"2025-05-16 15:45:00",110220,13.54,"2025-05-16 15:30:10",29.85,1.05,24.11,0
"2025-05-16 16:00:00",110221,13.54,"2025-05-16 15:45:25",29.9,1.049,24.1,0
"2025-05-16 16:15:00",110222,13.54,"2025-05-16 16:00:05",29.44,1.05,24.09,0
"2025-05-16 16:30:00",110223,13.54,"2025-05-16 16:15:30",28.95,1.048,24.07,0
"2025-05-16 16:45:00",110224,13.54,"2025-05-16 16:37:15",28.86,1.048,24.07,0
"2025-05-16 17:00:00",110225,13.52,"2025-05-16 16:57:45",29.08,1.05,24.07,0
"2025-05-16 17:15:00",110226,13.5,"2025-05-16 17:11:20",28.89,1.049,24.11,0
"2025-05-16 17:30:00",110227,13.52,"2025-05-16 17:28:10",28.45,1.049,24.13,0
"2025-05-16 17:45:00",110228,13.57,"2025-05-16 17:33:50",27.96,1.048,24.14,0
"2025-05-16 18:00:00",110229,13.43,"2025-05-16 17:52:50",27.58,1.049,24.11,0
"2025-05-16 18:15:00",110230,13.48,"2025-05-16 18:12:55",27.21,1.052,24.08,0
"2025-05-16 18:30:00",110231,13.53,"2025-05-16 18:16:25",26.82,1.052,24.03,0
"2025-05-16 18:45:00",110232,13.6,"2025-05-16 18:34:15",26.56,1.055,23.99,0
"2025-05-16 19:00:00",110233,13.59,"2025-05-16 18:50:40",26.46,1.056,23.94,0
"2025-05-16 19:15:00",110234,13.43,"2025-05-16 19:15:00",26.38,1.052,23.9,0
"2025-05-16 19:30:00",110235,13.28,"2025-05-16 19:29:35",26.23,1.047,23.86,0
"2025-05-16 19:45:00",110236,13.09,"2025-05-16 19:44:50",26,1.045,23.81,0
"2025-05-16 20:00:00",110237,13,"2025-05-16 19:59:30",25.71,1.044,23.76,0
"2025-05-16 20:15:00",110238,12.97,"2025-05-16 20:12:00",25.4,1.045,23.69,0
